Título,Preço,Área,Preço por m²,Detalhes,Descrição 1,Descrição 2,Descrição 3
"SMPW Quadra 4 Conjunto 5, PARK WAY, BRASILIA",2400000,2500,"960,00",2500 m²,Lote nascente em condomínio novo e moderno.,"Lote à venda na SMPW Quadra 4(fração de meio e nascente). 
 Condomínio recém-criado, com guarita e tamareiras na entrad... 10/12/24",Venda Lote/Terreno/Área 2500 m²
"SGCV Lote 27, PARK SUL, BRASILIA",3550000,205,"17.317,07","205 m²


4 Quartos


4 Suítes


4 Vagas",", Edifício Excellence SGCV Edifício Excellence - Apartamento com 4 quartos (suítes) - 4 vagas - aceita financiamento - Par","Edifício Excellence - Park Sul

Venha conhecer o ápice do luxo e do conforto no Excellence Park Sul, onde a exclusividad... 10/12/24",Venda Apartamento 205 m²
"SQNW 102 Bloco F
                                    NOROESTE, BRASILIA",,127,Preço ou área indisponível,"127 m²

3 quartos

1 planta",Viva o Extraordinário,Descrição não encontrada,Apartamento 127 m²
"SQSW 305 Bloco M, SUDOESTE, BRASILIA",2385000,161,"14.813,66","161 m²


4 Quartos


2 Suítes


2 Vagas",,"Kontá Imóveis: Perto de você!

EXCLUSIVIDADE! 

Belíssimo Apartamento de 4 quartos transformados em 3, sendo 2 Suítes, n... 10/12/24",Venda Apartamento 161 m²
"SQS 416, ASA SUL, BRASILIA",795000,85,"9.352,94","85 m²


3 Quartos",Excelente Apartamento de 3 Quartos na SQS 416 - Oportunidade Única!,"Localizado na prestigiada SQS 416 de Brasília, este incrível apartamento oferece uma oportunidade única para quem busca ... 10/12/24",Venda Apartamento 85 m²
"SQN 109 Bloco N, ASA NORTE, BRASILIA",2420000,173,"13.988,44","173 m²


4 Quartos


2 Suítes


2 Vagas",VAZADO - NASCENTE,"Kontá Imóveis: Perto de você!

Belíssimo apartamento com 4 quartos, sendo 2 suítes. Localizado em uma das melhores quadr... 10/12/24",Venda Apartamento 173 m²
"SQSW 500 Bloco P
                                    SUDOESTE, BRASILIA",,239,Preço ou área indisponível,"239 m²

4 quartos

1 planta",Preciosidade em cada detalhe,Descrição não encontrada,Apartamento 239 m²
"SHIS QI 17, LAGO SUL, BRASILIA",3950000,450,"8.777,78","450 m²


4 Quartos


4 Suítes


4 Vagas",OPORTUNIDADE! CASA ESPETACULAR COM HABITE-SE QI 17 - 4 SUÍTES,Bem-vindo à residência na QI 17 do Lago Sul. Esta casa térrea oferece luxo e conforto. Com uma área generosa e distribui... 10/12/24,Venda Casa 450 m²
"SHIS QI 21 Conjunto 8, LAGO SUL, BRASILIA",4100000,580,"7.068,97","580 m²


5 Quartos


3 Suítes


4 Vagas",- REFORMADA - ÁREA DE LAZER INCRÍVEL,"Kontá Imóveis: Perto de você!

EXCLUSIVIDADE!

Belíssima Casa Toda Reformada com 4 Quartos + Escritório + Sala de TV, co... 10/12/24",Venda Casa 580 m²
"SQNW 104 Bloco D, NOROESTE, BRASILIA",2790000,184,"15.163,04","184 m²


4 Quartos


4 Suítes


4 Vagas",- Nascente - De canto - Reformado - Vista Parque,"EXCLUSIVIDADE - Kontá Imóveis: Perto de você!

Belíssimo Apartamento,  com 4 Suítes, Nascente, de Canto, com Vista Livre... 10/12/24",Venda Apartamento 184 m²
"SQNW 106 Bloco H
                                    NOROESTE, BRASILIA",,,Preço ou área indisponível,0 plantas,2 e 3 Quartos - Noroeste,Descrição não encontrada,Apartamento
"SHIN QI 12 Conjunto 5, LAGO NORTE, BRASILIA",2350000,362,"6.491,71","362 m²


4 Quartos


2 Suítes


4 Vagas",Lago Norte - Visitas Sábado e Domingo - SHIN QI 12 - 04 Quartos - 2 Suítes - Escritório - Piscina -,"Visitas Sábado e Domingo - 61.986418484 - Confortável propriedade à venda !

Agende sua visita e venha ofereça sua propo... 10/12/24",Venda Casa 362 m²
"SQN 311, ASA NORTE, BRASILIA",2440000,223,"10.941,70","223 m²


4 Quartos


2 Suítes


2 Vagas",COBERTURA VAZADA 4 QUARTOS - ASA NORTE,"COBERTURA VAZADA 4 QUARTOS - ASA NORTE!

Excepcional Cobertura vazada na Asa Norte.

Linda e cuidadosamente reformada em... 10/12/24",Venda Apartamento 223 m²
"Condomínio Residencial Santa Mônica, JARDIM BOTANICO, BRASILIA",315000,779,"404,36",779 m²,Condomínio Residencial Santa Monica Lote regularizado - Aceita financiamento,"Daniel Ferreira vende: Oportunidade! Lote com fundo e lateral para reserva. Totalmente regularizado, aceita financiament... 10/12/24",Venda Lote/Terreno/Área 779 m²
